发布时间,笔记标题,笔记链接,笔记内容,点赞量,收藏量,评论量,分享量,互动量,博主昵称,概括,内容类型,正负向,业务线,渠道类型,具体产品/场景,笔记ID,是否剔除,是否剔除.输出结果
2026-06-16 14:03:48,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651870043261112169#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",66,0,16,0,82,刘哥,用户发布带有滴滴夏季香卡、夏日小乘凉及好服务有回报话题标签的抖音内容,产品力,中性,网约车,抖音,香卡,7651870043261112169,,
2026-06-16 10:29:06,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651814714317752571#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",59,0,24,0,83,沉默是金,用户发布带滴滴夏季香卡话题标签的抖音内容，宣传夏日乘凉活动及好服务有回报理念,车内,正向,品牌,抖音,香卡,7651814714317752571,,
2026-06-16 07:22:51,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651766714585623251#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",56,0,20,0,76,yzY,用户发布带滴滴夏季香卡话题的抖音内容，宣传该活动,产品力,正向,品牌,抖音,香卡,7651766714585623251,,
2026-06-17 02:51:53,#北京打车 #北京出租车,https://www.iesdouyin.com/share/video/7652067969514834843#ocr,#北京打车 #北京出租车,58,3,88,7,156,🎊玖🌈月🐳,发布带北京打车、北京出租车标签的出行内容,场景,中性,网约车,抖音,无匹配类别,7652067969514834843,,
2026-06-16 21:56:20,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651991817286619301#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",101,0,23,0,124,草堂先生,分享滴滴夏季香卡活动及好服务有回报相关内容,车内,正向,网约车,抖音,香卡,7651991817286619301,,
2026-06-16 20:28:24,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651969157013102266#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",108,2,32,0,142,王队来啦,宣传滴滴夏季香卡活动,车内,正向,品牌,抖音,香卡,7651969157013102266,,
2026-06-16 17:30:59,今日滴滴奇遇✨打到一辆满是少女心的小车 布置温柔干净 贴心备好小风扇 一路凉风相伴 遇见温柔又细心的女司机 一整天都被治愈,https://www.iesdouyin.com/share/video/7651923434759611490,今日滴滴奇遇✨打到一辆满是少女心的小车 布置温柔干净 贴心备好小风扇 一路凉风相伴 遇见温柔又细心的女司机 一整天都被治愈！！#小专车 #少女心爆棚,161,0,25,16,202,.是雨不是宇.,用户打到一辆布置温馨有少女心且配备小风扇的专车，车内环境干净，司机是温柔细心的女司机，给乘客带来治愈体验,车内,正向,专车/豪华车,抖音,女司机,7651923434759611490,,
2026-06-16 07:31:18,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651768896135423332#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",71,0,26,0,97,yzY,发布滴滴夏季香卡相关话题内容,地广/活动,中性,品牌,抖音,香卡,7651768896135423332,,
2026-06-16 10:29:51,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651814907713729018#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",78,0,28,0,106,沉默是金,推广滴滴夏季香卡及夏日乘凉活动，强调好服务有回报理念,地广/活动,正向,品牌,抖音,香卡,7651814907713729018,,
2026-06-16 09:50:02,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651804649242865573#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",116,1,27,0,144,王队来啦,宣传滴滴夏季香卡品牌活动,地广/活动,正向,品牌,抖音,香卡,7651804649242865573,,
2026-06-14 10:46:53,#滴滴好服务有好回报 #滴滴清凉好服务,https://www.iesdouyin.com/share/video/7651077130290200741#ocr,"#滴滴好服务有好回报
#滴滴清凉好服务",72,0,29,0,101,锦远留香,宣传滴滴清凉好服务及好服务有好回报品牌活动,地广/活动,正向,品牌,抖音,品牌,7651077130290200741,,
2026-06-16 14:44:25,滴滴夏季香卡小乘凉好服务有回报（九） #滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651880512298328667#ocr,滴滴夏季香卡小乘凉好服务有回报（九） #滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,676,0,26,1,703,湖南长沙炫乐哥,滴滴夏季香卡活动宣传，强调好服务有回报,车内,正向,品牌,抖音,香卡,7651880512298328667,,
2026-06-16 16:19:06,#滴滴夏季香卡#滴滴夏日小乘凉#滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651904913262726810#ocr,#滴滴夏季香卡#滴滴夏日小乘凉#滴滴好服务有回报,66,0,7,0,73,叶秋,视频宣传滴滴夏季香卡及夏日小乘凉活动，强调好服务有回报,产品力,正向,网约车,抖音,香卡,7651904913262726810,,
2026-06-17 05:37:47,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652110711699481066#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",32,0,43,0,75,👉故乡的云👈,用户发布带有滴滴夏季香卡相关话题标签的内容,车内,正向,网约车,抖音,香卡,7652110711699481066,,
2026-06-16 21:43:56,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651988622472018021#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",81,0,16,0,97,草堂先生,推广滴滴夏季香卡及夏日乘凉活动，宣传好服务有回报理念,地广/活动,正向,品牌,抖音,香卡,7651988622472018021,,
2026-06-16 19:58:13,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651961377666876836#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",84,0,26,0,110,刘哥,用户发布滴滴夏季香卡相关话题内容,产品力,正向,品牌,抖音,香卡,7651961377666876836,,
2026-06-16 10:28:06,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651814460050397297#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",61,0,23,0,84,沉默是金,滴滴夏季香卡活动宣传,地广/活动,正向,品牌,抖音,香卡,7651814460050397297,,
2026-06-16 21:39:44,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651987539872422330#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",80,0,14,0,94,草堂先生,推广滴滴夏季香卡活动，宣传好服务有回报理念,产品力,正向,网约车,抖音,香卡,7651987539872422330,,
2026-06-17 06:54:49,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652130577612691318#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",79,0,26,0,105,yzY,滴滴夏季香卡及夏日乘凉活动的宣传,产品力,正向,网约车,抖音,香卡,7652130577612691318,,
2026-06-17 08:59:30,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652162710582616802#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",88,0,31,0,119,快乐的飞鸟,宣传滴滴夏季香卡活动,地广/活动,正向,品牌,抖音,香卡,7652162710582616802,,
2026-06-17 09:09:53,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652165387022497652#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",100,0,32,0,132,快乐的飞鸟,用户发布带有滴滴夏季香卡、夏日小乘凉、好服务有回报话题标签的抖音内容,地广/活动,正向,品牌,抖音,香卡,7652165387022497652,,
2026-06-17 08:20:34,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652152677221140451#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",83,0,23,0,106,快乐的飞鸟,推广滴滴夏季香卡活动,车内,正向,网约车,抖音,香卡,7652152677221140451,,
2026-06-17 08:54:32,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652161432423502245#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉
#滴滴好服务有回报",116,0,19,0,135,重庆滴滴姚师傅,滴滴司机分享夏季香卡相关活动内容,车内,正向,品牌,抖音,香卡,7652161432423502245,,
2026-06-17 10:57:40,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652193163415277179#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",91,0,31,0,122,沉默是金,关于滴滴夏季香卡活动的推广内容,车内,正向,网约车,抖音,香卡,7652193163415277179,,
2026-06-16 23:50:35,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652021259866034118#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",68,0,24,0,92,刘哥,用户分享滴滴夏季香卡相关内容，带有夏日小乘凉和好服务有回报的话题标签,车内,正向,网约车,抖音,香卡,7652021259866034118,,
2026-06-16 10:27:27,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651814291859019961#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",62,0,23,0,85,沉默是金,宣传滴滴夏季香卡活动,地广/活动,正向,品牌,抖音,香卡,7651814291859019961,,
2026-06-16 07:14:12,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651764490967753572#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",65,0,22,0,87,yzY,用户分享滴滴夏季香卡相关内容,车内,正向,网约车,抖音,香卡,7651764490967753572,,
2026-06-17 13:53:18,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652238421624908799#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",59,0,22,0,81,刘哥,滴滴夏季香卡推广内容,车内,正向,网约车,抖音,香卡,7652238421624908799,,
2026-06-17 22:24:01,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652370034488125861#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",73,0,19,0,92,草堂先生,用户发布滴滴夏季香卡相关话题内容,产品力,正向,品牌,抖音,香卡,7652370034488125861,,
2026-06-16 22:44:22,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652004191036625635#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",53,0,20,0,73,"@故作洒脱""互帮互助点赞加评论""",滴滴夏季香卡及夏日乘凉活动宣传,地广/活动,正向,品牌,抖音,香卡,7652004191036625635,,
2026-06-17 19:19:55,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652322592120264874#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",58,0,21,0,79,yzY,宣传滴滴夏季香卡及夏日乘凉活动，强调好服务有回报,地广/活动,正向,品牌,抖音,香卡,7652322592120264874,,
2026-06-16 07:11:59,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651763921016095665#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",53,0,19,0,72,晋哥,用户发布参与滴滴夏季香卡及夏日小乘凉品牌话题活动的抖音内容,地广/活动,正向,品牌,抖音,香卡,7651763921016095665,,
2026-06-17 23:18:44,#滴滴后排乘客的感受 #夜间网约车司机 #打车的体验感 #网约车承载的生活 #网约车的初衷,https://www.iesdouyin.com/share/video/7652384131914282890#ocr,#滴滴后排乘客的感受 #夜间网约车司机 #打车的体验感 #网约车承载的生活 #网约车的初衷,239,143,22,21,425,更好的环境,用户分享夜间乘坐滴滴网约车时后排乘客的体验感受及网约车对生活的意义,场景,中性,网约车,抖音,深夜/晚归出行,7652384131914282890,,
2026-06-17 19:18:37,谁懂啊,https://www.iesdouyin.com/share/video/7652322258769675418,"谁懂啊！今天打车碰到个退役军人师傅，安全感直接拉满！
师傅笑着说：“以前保家卫国，现在保你平安到家。”
这话说的，瞬间觉得心里暖暖的～
#滴滴司机#暖心瞬间#退役军人 #打车奇遇",80,0,48,3,131,ᴵᴵ,用户打车遇到退役军人司机，师傅表示以前保家卫国现在保乘客平安到家，让人感到温暖和有安全感。,司机,正向,网约车,抖音,特殊身份-退伍军人,7652322258769675418,,
2026-06-17 10:55:24,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652192580424495545#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",54,0,24,0,78,沉默是金,滴滴夏季香卡活动宣传,车内,正向,网约车,抖音,香卡,7652192580424495545,,
2026-06-17 16:06:03,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652272634109534459#ocr,#滴滴夏季香卡 #滴滴夏日小乘凉  #滴滴好服务有回报,75,0,6,0,81,互关互赞最美最帅,滴滴夏季香卡活动宣传,地广/活动,正向,品牌,抖音,香卡,7652272634109534459,,
2026-06-17 13:05:38,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652226138975214458#ocr,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,60,0,11,0,71,网约车司机老吴,滴滴司机分享滴滴夏季香卡及夏日乘凉活动相关内容,车内,正向,网约车,抖音,香卡,7652226138975214458,,
2026-06-16 16:23:34,#滴滴夏季香片 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651906060068276800#ocr,"#滴滴夏季香片
#滴滴夏日小乘凉
#滴滴好服务有回报",53,0,20,0,73,陆晓伟 帮忙点赞加评论,用户发布滴滴夏季香片相关话题标签并请求点赞评论,地广/活动,正向,品牌,抖音,香卡,7651906060068276800,,
2026-06-17 21:49:54,十分给力的滴滴司机,https://www.iesdouyin.com/share/video/7652361239751108714,"十分给力的滴滴司机。
21:47的高铁，预计21:40才能到东站，师傅用技术给我争取了4分钟，21:36就到了。
完美上车。
#拼命 #滴滴司机 #极限卡点 #杭州东站",71,4,75,4,154,春风,乘客赶高铁时间紧迫，滴滴司机凭借出色驾驶技术提前4分钟送达，帮助乘客成功赶上列车。,司机,正向,网约车,抖音,驾驶技术,7652361239751108714,,
2026-06-16 13:15:53,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651857695520628138#ocr,"#滴滴夏季香卡 
  #滴滴夏日小乘凉
                      #滴滴好服务有回报
",79,0,6,1,86,跑滴滴来百丽,司机发布视频带话题标签宣传滴滴夏季香卡及夏日乘凉活动,地广/活动,正向,品牌,抖音,香卡,7651857695520628138,,
2026-06-16 22:38:16,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652002623507434127#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",75,0,33,0,108,"@故作洒脱""互帮互助点赞加评论""",分享滴滴夏季香卡相关话题内容，涉及夏日活动及司机服务回报,车内,正向,网约车,抖音,香卡,7652002623507434127,,
2026-06-15 22:11:59,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651624765144265193#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",147,0,44,0,191,人生几何,用户发布抖音视频宣传滴滴夏季香卡活动,产品力,正向,网约车,抖音,香卡,7651624765144265193,,
2026-06-15 23:02:26,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651637761695595974#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",274,0,65,0,339,人生几何,滴滴夏季香卡品牌话题活动,地广/活动,正向,品牌,抖音,香卡,7651637761695595974,,
2026-06-18 17:55:14,昆明的滴滴司机是懂浪漫的#滴滴司机,https://www.iesdouyin.com/share/video/7652671854415530737,昆明的滴滴司机是懂浪漫的#滴滴司机,319,0,0,9,328,香湘牌香蕉🍌,夸赞昆明滴滴司机浪漫,司机,正向,网约车,抖音,司乘温暖,7652671854415530737,,
2026-06-16 06:23:20,#滴滴好服务有好回报 #滴滴清凉好服务,https://www.iesdouyin.com/share/video/7651751376665613795#ocr,"#滴滴好服务有好回报
#滴滴清凉好服务",154,0,9,0,163,F风暴B,参与滴滴好服务有好回报及清凉好服务话题活动,地广/活动,正向,品牌,抖音,品牌,7651751376665613795,,
2026-06-18 14:47:56,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652623587228125046#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",196,0,20,0,216,🏀滴滴大师⚽,宣传滴滴夏季香卡及夏日乘凉活动，强调好服务有回报,地广/活动,正向,品牌,抖音,香卡,7652623587228125046,,
2026-06-18 14:44:11,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652622620290466630#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",171,0,13,0,184,🏀滴滴大师⚽,宣传滴滴夏季香卡及好服务回报活动,产品力,正向,品牌,抖音,香卡,7652622620290466630,,
2026-06-16 16:53:26,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651913753260629075#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉 
#滴滴好服务有回报",93,0,2,0,95,龙队（滴滴达人计划）👍,推广滴滴夏季香卡及夏日乘凉主题的品牌活动,地广/活动,正向,品牌,抖音,香卡,7651913753260629075,,
2026-06-14 08:31:03,不要抱怨打车为什么没服务，不开空调,https://www.iesdouyin.com/share/video/7651042123198704226#ocr,不要抱怨打车为什么没服务，不开空调？因为他是滴滴特惠🤡#滴滴出行 #特惠快车 #网约车  #滴滴司机 #网约车,39,26,15,17,97,不烧机油的大众,吐槽滴滴特惠快车服务差且不开空调，认为低价理所应当导致服务差,司机行为投诉,负向,滴滴特惠,抖音,态度恶劣,7651042123198704226,,
2026-06-18 21:52:23,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652732967332496485#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",181,0,33,0,214,草堂先生,滴滴夏季香卡活动宣传,产品力,正向,网约车,抖音,香卡,7652732967332496485,,
2026-06-18 14:52:21,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652624724035717227#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",172,0,13,0,185,🏀滴滴大师⚽,滴滴夏季香卡及夏日小乘凉活动宣传,地广/活动,正向,品牌,抖音,香卡,7652624724035717227,,
2026-06-18 13:53:38,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652609595097885093#ocr,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,79,0,12,0,91,网约车司机老吴,网约车司机发布滴滴夏季香卡相关推广内容,车内,正向,网约车,抖音,香卡,7652609595097885093,,
2026-06-18 14:31:41,第一次坐出租车 奉劝各位 不要坐出租车 不要坐出租车 太坑了 贵的离谱今天算是见识了 比滴滴 要贵一半#滴滴司机 #出租车司机,https://www.iesdouyin.com/share/video/7652619401480569706,第一次坐出租车   奉劝各位   不要坐出租车 不要坐出租车  太坑了  贵的离谱今天算是见识了  比滴滴 要贵一半#滴滴司机 #出租车司机,40,4,63,3,110,Mr.楊的小世界,用户分享第一次乘坐出租车的经历，认为出租车价格比滴滴贵一半，吐槽出租车太坑并奉劝大家不要坐出租车,场景,正向,网约车,抖音,价格优惠,7652619401480569706,,
2026-06-19 00:59:04,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652781074481000433#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",105,0,19,0,124,梦回唐朝👻,用户发布带有滴滴夏季香卡、夏日小乘凉、好服务有回报话题标签的抖音内容。,地广/活动,正向,品牌,抖音,香卡,7652781074481000433,,
